method,category,image_id,real_image,generated_image,psnr,ssim,lpips
quantum,ship,9,real_3.png,gen_3.png,8.881291250014101,0.0077330787,0.20346838235855103
quantum,ship,10,real_4.png,gen_4.png,9.626999084590537,0.12896664,0.19015127420425415
quantum,ship,11,real_5.png,gen_5.png,10.569084626896641,0.1078537,0.3234403133392334
quantum,ship,12,real_6.png,gen_6.png,11.425918463614648,0.04603217,0.16906848549842834
quantum,ship,13,real_7.png,gen_7.png,10.739621530860003,0.2552658,0.21868890523910522
quantum,ship,14,real_8.png,gen_8.png,9.018673352089777,0.010006393,0.2629753053188324
quantum,ship,15,real_9.png,gen_9.png,10.31726917232945,0.108058535,0.3823885917663574
classical,truck,0,real_0.png,gen_0.png,7.925217352624008,-0.07589246,0.19044703245162964
classical,truck,1,real_1.png,gen_1.png,8.055146189904415,-0.027473466,0.34027206897735596
classical,truck,2,real_10.png,gen_10.png,10.577482446057369,0.17485398,0.15664273500442505
classical,truck,3,real_11.png,gen_11.png,8.86361969269615,0.029365012,0.24142584204673767
classical,truck,4,real_12.png,gen_12.png,9.1491453453818,0.0019685086,0.20220395922660828
classical,truck,5,real_13.png,gen_13.png,6.87001549798228,-0.00659778,0.36087557673454285
classical,truck,6,real_14.png,gen_14.png,7.590069673142935,0.08950011,0.29641005396842957
classical,truck,7,real_15.png,gen_15.png,9.808589181334671,0.048173737,0.19938364624977112
classical,truck,8,real_2.png,gen_2.png,6.90052883070178,0.068418674,0.12522751092910767
classical,truck,9,real_3.png,gen_3.png,8.367514640351313,-0.0038594548,0.24321410059928894
classical,truck,10,real_4.png,gen_4.png,7.998676327000194,-0.021918297,0.17560303211212158
classical,truck,11,real_5.png,gen_5.png,8.525684982663407,-0.006871123,0.16635781526565552
classical,truck,12,real_6.png,gen_6.png,8.82696052630662,-0.07418094,0.14581365883350372
classical,truck,13,real_7.png,gen_7.png,6.92616824915378,0.08732072,0.17737692594528198
classical,truck,14,real_8.png,gen_8.png,9.385900064299731,0.11561242,0.20440830290317535
classical,truck,15,real_9.png,gen_9.png,8.953980500215572,-0.07421339,0.18108749389648438
quantum,truck,0,real_0.png,gen_0.png,10.223878219946682,-0.050429583,0.20829422771930695
quantum,truck,1,real_1.png,gen_1.png,7.444934594854469,0.036020886,0.180296391248703
quantum,truck,2,real_10.png,gen_10.png,9.229815714579738,0.019697508,0.18019133806228638
quantum,truck,3,real_11.png,gen_11.png,9.938172633195379,0.09642229,0.1552765667438507
